name,nada,stk,make,model,year,odometer,age,cost
2015 Chevrolet Camaro Z/28 2dr Coupe,73204,C700424,Chevrolet,Camaro,2015,10,506,75412.36
2016 Chevrolet Silverado 1500,57248,C129614,Chevrolet,Silverado 1500,2016,8,88,58662.31
2016 Chevrolet Tahoe LS 4x2,47294,C108088,Chevrolet,Tahoe,2016,25,205,47294.3
2015 Chevrolet Silverado 1500 LT w/1LT 4x4 Crew Cab 6.5 ft.,45468,C382952,Chevrolet,Silverado 1500,2015,18,215,46859.46
2016 Chevrolet Tahoe LS 4x2,45017,C219864,Chevrolet,Tahoe,2016,5,90,46427
2015 Chevrolet Silverado 1500,44450,C386382,Chevrolet,Silverado 1500,2015,1,223,45839.67
2015 Chevrolet Silverado 1500,44331.14,C389509,Chevrolet,Silverado 1500,2015,8,195,45722.69
2015 Chevrolet Silverado 1500,42445,C462255,Chevrolet,Silverado 1500,2015,11,145,43760.16
2015 Chevrolet Silverado 1500 LT w/1LT 4x4 Crew Cab 6.5 ft.,42432,C463021,Chevrolet,Silverado 1500,2015,1,178,43747.18
2014 Chevrolet Silverado 1500 LT w/1LT 4x4 Crew Cab 5.75 ft,31800,C313766,Chevrolet,Silverado 1500,2014,200,638,42274.71
2015 Chevrolet Silverado 1500,40709,C381616,Chevrolet,Silverado 1500,2015,8,219,41972.13
2015 Chevrolet Silverado 1500,40149,C389819,Chevrolet,Silverado 1500,2015,2,221,41403.26
2015 Chevrolet Silverado 1500,40091,C382767,Chevrolet,Silverado 1500,2015,7,227,41344.83
2015 Chevrolet Silverado 1500,38858,C53282,Chevrolet,Silverado 1500,2015,3,153,40031.86
2015 Chevrolet Silverado 1500 LS 4x2 Crew Cab 5.75 ft. box,38504,C456595,Chevrolet,Silverado 1500,2015,2,195,39667.31
2015 Chevrolet Silverado 1500,38485,C470131,Chevrolet,Silverado 1500,2015,8,181,39648.56
2015 Chevrolet Silverado 1500,38423,C538457,Chevrolet,Silverado 1500,2015,8,126,39582.62
2015 Chevrolet Silverado 1500,38061,C458630,Chevrolet,Silverado 1500,2015,2,195,39209.44
2015 Chevrolet Silverado 1500,38045,C467628,Chevrolet,Silverado 1500,2015,3,184,39194.12
2015 Chevrolet Silverado 1500 LS 4x4 Double Cab 6.6 ft. box,37937,C391023,Chevrolet,Silverado 1500,2015,3,221,39082.47
2015 Chevrolet Silverado 1500,37929,C389247,Chevrolet,Silverado 1500,2015,2,222,39074.2
2016 Chevrolet Silverado 1500 LS 4x4 Double Cab 6.6 ft. box,37611,C144829,Chevrolet,Silverado 1500,2016,9,90,38742.92
2016 Chevrolet Impala LTZ w/2LZ 4dr Sedan,38098,C114671,Chevrolet,Impala,2016,1,17,38097.55
2016 Chevrolet Impala LTZ w/2LZ 4dr Sedan,37968,C142032,Chevrolet,Impala,2016,1,17,37967.75
2015 Chevrolet Impala LTZ w/2LZ 4dr Sedan,37900.9,CC273944,Chevrolet,Impala,2015,159,198,37900.9
2016 Chevrolet Camaro 2LT 2dr Coupe,36417,C120619,Chevrolet,Camaro,2016,11,41,37525.79
2016 Chevrolet Camaro 2LT 2dr Coupe,36400.44,C146594,Chevrolet,Camaro,2016,11,12,37508.79
2016 Chevrolet Silverado 2500HD WT 4x2 Crew Cab 6.6 ft. box 1,36342,C159125,Chevrolet,Silverado 2500HD,2016,5,23,37444.49
2016 Chevrolet Silverado 2500HD WT 4x2 Crew Cab 6.6 ft. box 1,36317,C127505,Chevrolet,Silverado 2500HD,2016,3,90,37419.69
2015 Chevrolet Impala LTZ w/1LZ 4dr Sedan,35766,C248040,Chevrolet,Impala,2015,1,31,35766.11
2015 Chevrolet Impala LTZ w/1LZ 4dr Sedan,35412,C247644,Chevrolet,Impala,2015,1,31,35411.6
2015 Chevrolet Silverado 1500 LS 4x2 Crew Cab 5.75 ft. box,33807,C388907,Chevrolet,Silverado 1500,2015,34,65,33807
2015 Chevrolet Silverado 1500,33617,C429043,Chevrolet,Silverado 1500,2015,25,131,33617.16
2016 Chevrolet Malibu LT w/2LT 4dr Sedan,33165,C173987,Chevrolet,Malibu,2016,22,25,33165.15
2016 Chevrolet Camaro 1LT 2dr Coupe,31815.99,C141919,Chevrolet,Camaro,2016,1,23,32777.04
2016 Chevrolet Traverse LS Front-wheel Drive,31748,C213974,Chevrolet,Traverse,2016,1,124,32700.3
2016 Chevrolet Traverse LS Front-wheel Drive,31748,C254095,Chevrolet,Traverse,2016,1,66,32700.3
2016 Chevrolet Traverse LS Front-wheel Drive,31748,C252884,Chevrolet,Traverse,2016,8,69,32700.3
2016 Chevrolet Colorado LT 4x2 Crew Cab 5 ft. box 128,30957.09,C161296,Chevrolet,Colorado,2016,39,124,31886.64
2015 Chevrolet Camaro LT w/1LT 2dr Coupe,30930,C296928,Chevrolet,Camaro,2015,1,223,31861.17
2016 Chevrolet Impala LT w/1LT 4dr Sedan,30929,C169255,Chevrolet,Impala,2016,4,12,31860.24
2016 Chevrolet Equinox LT Front-wheel Drive,30865,C154545,Chevrolet,Equinox,2016,2,32,31805.16
2015 Chevrolet Camaro LT w/1LT 2dr Coupe,24125,C260281,Chevrolet,Camaro,2015,8,317,31799.32
2016 Chevrolet Camaro 1LT 2dr Coupe,30775,C128243,Chevrolet,Camaro,2016,26,83,31694.41
2016 Chevrolet Malibu Limited LTZ 4dr Sedan,30709,C124537,Chevrolet,Malibu Limited,2016,1,181,31649.31
2016 Chevrolet Equinox LT Front-wheel Drive,30408,C154186,Chevrolet,Equinox,2016,3,33,31330.16
2016 Chevrolet Equinox LT Front-wheel Drive,30138,C219918,Chevrolet,Equinox,2016,1,62,31054.36
2015 Chevrolet Impala LT w/2LT 4dr Sedan,30989,C295725,Chevrolet,Impala,2015,1,31,30989.33
2016 Chevrolet Equinox LT Front-wheel Drive,29974,C262958,Chevrolet,Equinox,2016,1,6,30884.79
2016 Chevrolet Equinox LT Front-wheel Drive,29969.44,C256650,Chevrolet,Equinox,2016,9,12,30879.79
2015 Chevrolet Camaro LT w/1LT 2dr Coupe,29533,C254779,Chevrolet,Camaro,2015,3,310,30417.57
2015 Chevrolet Camaro LT w/1LT 2dr Coupe,29533,C257519,Chevrolet,Camaro,2015,3,306,30417.57
2016 Chevrolet Camaro 1LT 2dr Coupe,29183,C139193,Chevrolet,Camaro,2016,1,32,30055.29
2016 Chevrolet Camaro 1LT 2dr Coupe,28882,C128734,Chevrolet,Camaro,2016,10,83,29742.41
2016 Chevrolet Camaro 1LT 2dr Coupe,28824,C132074,Chevrolet,Camaro,2016,10,41,29684.91
2016 Chevrolet Camaro 1LT 2dr Coupe,28812,C146692,Chevrolet,Camaro,2016,1,6,29672.91
2011 Jeep Wrangler Unlimited Rubicon 4dr 4x4,24875,C110775A,Jeep,Wrangler Unlimited,2011,79730,131,29666.98
2016 Chevrolet Malibu LT w/2LT 4dr Sedan,29633,C184025,Chevrolet,Malibu,2016,1,18,29632.95
2016 Chevrolet Traverse LT w/2LT All-wheel Drive,31750,P113954,Chevrolet,Traverse,2016,17285,5,29494.92
2013 Chevrolet Silverado 1500 LT 4x4 Crew Cab 5.75 ft. box,23925,C123421C,Chevrolet,Silverado 1500,2013,89471,9,28375
2014 Chevrolet Silverado 1500,27750,C118976A,Chevrolet,Silverado 1500,2014,23367,5,28342.83
2015 Chevrolet Cruze Diesel 4dr Sedan,27363,C258058,Chevrolet,Cruze,2015,1,298,28179.36
2015 Chevrolet Cruze Diesel 4dr Sedan,27363,C259383,Chevrolet,Cruze,2015,8,305,28179.36
2015 Chevrolet Cruze Diesel 4dr Sedan,27363,C252969,Chevrolet,Cruze,2015,2,306,28179.36
2016 Chevrolet Impala LS w/1LS 4dr Sedan,28133,C119346,Chevrolet,Impala,2016,1,26,28132.53
2015 Chevrolet Cruze Diesel 4dr Sedan,27236,C244452,Chevrolet,Cruze,2015,2,314,28052.56
2016 Chevrolet Malibu Limited LT 4dr Sedan,26256,C125449,Chevrolet,Malibu Limited,2016,3,184,27044.24
2014 Chevrolet Silverado 1500 Work Truck w/1WT 4x2 Regular,22000,P234076,Chevrolet,Silverado 1500,2014,5,19,27030.25
2016 Chevrolet Malibu Limited LT 4dr Sedan,26207,C124711,Chevrolet,Malibu Limited,2016,8,184,26994.89
2014 Chevrolet Silverado 1500,24500,P175507,Chevrolet,Silverado 1500,2014,42839,17,26868.11
2015 Chevrolet Traverse LT w/1LT All-wheel Drive,26725,P253432,Chevrolet,Traverse,2015,24698,5,26757.16
2015 Chevrolet Impala LS w/1LS 4dr Sedan,21575,C268226,Chevrolet,Impala,2015,2,290,26733.8
2015 Chevrolet Trax LT Front-wheel Drive Sport Ut,25820,C164201,Chevrolet,Trax,2015,9,307,26580.4
2015 Chevrolet Trax LT Front-wheel Drive Sport Ut,25536,C247961,Chevrolet,Trax,2015,1,195,26296.3
